Artikelnummer;Bezeichnung;Länge (cm);Breite (cm);Höhe (cm);Gewicht (kg);Verpackung (Id);Stück (pro Verpackung)
722082;NIET DIN 7337-A4,8X23-ST-ZN-NI;1.24;0.84;0.97;0.003;12;144000
722083;NIET DIN 7337-A4,8X23-AL;1.24;0.84;0.97;0.001;12;144000
30290;STOPFEN D 20;1.24;0.84;0.97;0.002;12;100000
124739;STOPFEN D=20 LICO;1.24;0.84;0.97;0.002;12;100000
730051;NIET 5X31,5 GAV - SCHWARZ;1.24;0.84;0.97;0.004;12;96000
30300;STOPFEN 20/24;1.24;0.84;0.97;0.003;12;72000
124243;AUFKL. PERI-UP STIEL 100X162;1.24;0.84;0.97;0.01;12;64000
780302;NIET DIN 7337-B5,0X25-AL;1.24;0.84;0.97;0.006;12;64000
108618;ROHRNIET 22X1X20 MM;1.24;0.84;0.97;0.013;12;50000
30320;STOPFEN D=25 F.TRS;1.24;0.84;0.97;0.004;12;40000
110047;ROHRNIET 25,6X0,8X22,5 MM;1.24;0.84;0.97;0.013;12;30000
710702;HAMMERKOPF-SCHR. M14X75/87 VZ.;1.24;0.84;0.97;0.096;12;14000
31639;SK DICHTUNGSDECKEL UNI DW15;1.24;0.84;0.97;0.005;12;13200
123601;BOERDELHUELSE MX SHERA.;1.24;0.84;0.97;0.053;12;13000
767032;ECKBLECH-2;1.24;0.84;0.5;0.036;16;10000
100109;KEIL, ROH;1.24;0.84;0.97;0.15;12;10000
727395;KANTENSCHUTZWINKEL UNSORTIERT;1.24;0.84;0.97;0.05;12;10000
750134;KUNSTSTOFF-ECKEINSATZ DW 20;1.24;0.84;0.97;0.03;12;4000
750135;KUNSTSTOFFEINSATZ DW 20;1.24;0.84;0.97;0.031;12;4000
780411;FÜHRUNG BD3X60X195 KREUZKOPF;1.24;0.84;0.97;0.281;12;4000
114615;HORIZONTALRIEGELKOPF UDI;1.24;0.84;0.97;0.374;12;3500
31636;DK DICHTUNGSKONUS DW 15/55;1.24;0.84;0.97;0.063;12;2600
107034;ROSETTE STAHL O.NF-KZ;1.24;0.84;0.97;0.527;12;2600
30130;NOCKENMUTTER DW 15, VERZ.;1.24;0.84;0.5;0.318;16;2500
30840;GEWINDEPLATTE   DW15;1.24;0.84;0.97;0.516;12;2500
100001;ROSETTE STAHL;1.24;0.84;0.97;0.526;12;2500
108556;ANKERTASCHE -STAHL-;1.24;0.84;0.97;0.322;12;2500
111999;AUFSTIEGSROHR VR30X2,5X260 HFT;1.24;0.84;0.97;0.507;12;2500
727299;ANTI-RUTSCHMATTE 100X200X08 MM;1.24;0.84;0.97;0.14;12;2400
750585;KEIL FUER HAKENBUEGEL;1.24;0.84;0.97;0.532;12;2200
710465;K ANKERKONUS DW 15;1.24;0.84;0.97;0.062;12;2000
20620;DISTANZIERUNG F. BR;1.24;0.84;0.5;0.561;16;2000
101959;EINSETZBLECH;1.24;0.84;0.5;0.089;16;2000
105400;BOLZEN 20X140, VERZ.;1.24;0.84;0.5;0.33;16;2000
118260;KUGELMUTTER RD16 VERZ;1.24;0.84;0.97;0.686;12;2000
727035;PP-GEWEBESÄCKE WEISS 50X75CM;1.24;0.84;0.97;0.08;12;2000
57021;HV-GARNITUR M 20X 75-10.9;1.24;0.84;0.97;0.37;7;2000
115673;SCHIEBER-2 HFT;1.24;0.84;0.97;0.367;12;1800
29470;EINHAENGERING M24 - VERZ -;1.24;0.84;0.97;0.723;12;1730
100245;BODENPLATTE MIT Ü-KZ/NF-KZ;1.24;0.84;0.97;0.927;12;1600
117471;GRIFF RS ROH;1.24;0.84;0.97;0.467;12;1600
30100;FLUEGELMUTTER DW 15, VERZ.;1.24;0.84;0.5;0.438;16;1500
30110;MUTTERNPLATTE DW 15, VERZ.;1.24;0.84;0.97;0.799;12;1500
30860;GEWINDEPLATTE   DW20;1.24;0.84;0.97;0.801;12;1500
110022;DISTANZIERUNG M20-82;1.24;0.84;0.5;0.493;16;1500
118347;GRIFF 4 MM VZ;1.24;0.84;0.97;0.366;12;1500
30005;SPANNSTAHL 0.50 MTR DW 15;1.24;0.84;0.5;0.72;16;1400
116870;AUFSTOCKSTREBE L=231;1.24;0.84;0.97;0.568;12;1400
104412;GELAENDERHALTER UPW;1.24;0.84;0.97;0.719;12;1300
30990;FLUEGELMUTTER DW 20, VERZ.;1.24;0.84;0.97;0.786;12;1260
710466;K ANKERKONUS DW 20;1.24;0.84;0.97;0.114;12;1250
102605;BELAGKLAMMER UED;1.24;0.84;0.97;0.42;12;1200
100301;VERBINDER ULT 32;1.24;0.84;0.97;1.02;12;1200
110510;ENDPLATTE MP MIT  Ü-KZ/ZUL-NR.;1.24;0.84;0.97;0.488;12;1200
124936;DOPPELHAKEN VZ;1.24;0.84;0.97;1.07;12;1200
24240;KEIL ZUGFEST KZ;1.24;0.84;0.97;0.805;12;1000
101731;RIEGELAUFNAHME UHA;1.24;0.84;0.97;0.841;12;1000
17020;NORMKUPPLUNG NK 48/48, VERZ.;1.24;0.84;0.97;1.12;12;1000
30870;GEWINDEPLATTE   DW26;1.24;0.84;0.97;1.24;12;1000
114158;SCHRAUBKONUS-2  M 24/DW20 VZ;1.24;0.84;0.97;1.03;12;1000
110023;DISTANZIERUNG M24-82;1.24;0.84;0.5;0.91;16;1000
30150;ANKERSTAB B15 - L=0,30 MTR.;1.24;0.84;0.5;0.42;16;1000
123718;DISTANZSCHLOSS UNO;1.2;0.8;0.8;0.499;14;1000
124000;DECKENSCHLOSS UNO;1.2;0.8;0.8;0.463;14;1000
24880;HAKENBRIDE HB  F. VT, VERZ.;1.2;0.8;0.8;0.522;14;1000
115543;L-WINKEL 65X120;1.24;0.84;0.5;0.248;16;1000
105881;ANSCHLUSS -C-, KOMPLETT;1.24;0.84;0.97;1.08;12;1000
105874;ANSCHLUSS -D-, KOMPLETT;1.24;0.84;0.97;1.08;12;1000
715494;BOLZEN F.RS 1000           HFT;1.24;0.84;0.5;0.535;16;1000
710473;PLATTE FL 140X10X140;1.24;0.84;0.97;1.37;12;1000
17010;DREHKUPPLUNG DK 48/48, VERZ.;1.24;0.84;0.97;1.4;12;900
24630;FIXBRIDE U 100-120, VERZ.;1.24;0.84;0.97;0.742;12;900
24600;TRAEGERPRATZE HB;1.2;0.8;0.8;0.907;14;900
112671;ROHR M. ZAPFEN;1.24;0.84;0.97;1.5;12;900
30010;SPANNSTAHL 0.85 MTR DW 15;1.24;0.84;0.5;1.22;16;800
30480;SPANNSTAHL 1.00 MTR DW 15;1.24;0.84;0.5;1.44;16;800
30640;SPANNSTAHL 0.50 MTR DW 20;1.24;0.84;0.5;1.28;16;800
100863;SPINDELSICHERUNG UJS;1.24;0.84;0.97;1.03;12;800
117743;SPINDELSICHERUNG UJS PLUS;1.24;0.84;0.97;0.798;12;800
751544;HAKENBUEGEL 8;1.24;0.84;0.97;1.38;12;800
61038;ABDECKLEISTE  SAL  37,5;1.24;0.84;0.97;0.427;12;760
31300;ANSCHWEISSANKER DW 15;1.24;0.84;0.97;1.35;12;750
103845;HAKENBRIDE UNIVERSAL HBU 24-28;1.24;0.84;0.97;0.893;12;720
104931;HAKENBRIDE UNIVERSAL HBU 20-24;1.24;0.84;0.97;0.865;12;720
100908;ZUGKUPPLUNG   1 1/2 ZOLL;1.24;0.84;0.97;1.4;12;700
21640;RIEGELBOLZEN, VERZ.;1.24;0.84;0.5;1.26;16;700
17000;DREHKUPPLUNG DK 60/48, VERZ.;1.24;0.84;0.97;1.54;12;700
117169;RICHTSTUETZENANSCHLUSS LIWA;1.24;0.84;0.97;1.52;12;700
109532;SEITENBLECH BL 8;1.24;0.84;0.97;1.77;12;700
101288;U-PROFIL 118/25;1.24;0.84;0.97;1.99;12;650
710467;K ANKERKONUS DW 26;1.24;0.84;0.97;0.23;12;630
31220;KLETTERKONUS-2  M 24/DW15 VZ;1.24;0.84;0.5;1.01;16;624
100750;DISTANZHALTER UEC 10;1.24;0.84;0.97;1.3;12;600
114613;HORIZONTALRIEGEL UH  25 PLUS;1.24;0.84;0.97;1.43;12;600
109764;UH-ZAPFEN;1.24;0.84;0.97;1.22;12;600
110793;RIEGELAUFNAHME UHA HALB;1.24;0.84;0.97;1.09;12;600
30370;MUTTERGELENKPLATTE DW 15, VERZ;1.24;0.84;0.97;1.66;13;600
100244;FUSSPLATTE UJP;1.24;0.84;0.97;1.23;12;600
109910;STUETZKOPF    GFH;1.24;0.84;0.97;0.845;12;600
115959;AUFLAGE UC 25;1.24;0.84;0.97;1.15;12;600
105824;KUPPLUNGSANSCHLUSS FUER UH;1.24;0.84;0.97;1.26;12;600
118100;STAPELHILFE MX FLAT;1.24;0.84;0.97;0.653;12;600
111671;P217 QUERSTREBE L=686;1.24;0.84;0.97;1.5;12;600
116900;ANKERSTREBE 60;1.24;0.84;0.97;2.6;12;550
